Municipios;Tipo de vivienda;Total
45003  Albarreal de Tajo;2.1 Total viviendas principales;294
02004  Albatana;2 Total viviendas familiares;570
02004  Albatana;2.1 Total viviendas principales;295
25007  Albatàrrec;2 Total viviendas familiares;907
25007  Albatàrrec;2.1 Total viviendas principales;816
03005  Albatera;2 Total viviendas familiares;6.504
03005  Albatera;2.1 Total viviendas principales;4.120
22009  Albelda;2 Total viviendas familiares;560
22009  Albelda;2.1 Total viviendas principales;342
26005  Albelda de Iregua;2 Total viviendas familiares;2.443
26005  Albelda de Iregua;2.1 Total viviendas principales;1.310
16006  Albendea;2 Total viviendas familiares;260
16006  Albendea;2.1 Total viviendas principales;73
19008  Albendiego;2 Total viviendas familiares;79
19008  Albendiego;2.1 Total viviendas principales;21
44010  Albentosa;2 Total viviendas familiares;373
44010  Albentosa;2.1 Total viviendas principales;114
16007  Alberca de Záncara, La;2 Total viviendas familiares;1.013
16007  Alberca de Záncara, La;2.1 Total viviendas principales;702
37010  Alberca, La;2 Total viviendas familiares;1.003
37010  Alberca, La;2.1 Total viviendas principales;429
37011  Alberguería de Argañán, La;2 Total viviendas familiares;200
37011  Alberguería de Argañán, La;2.1 Total viviendas principales;61
46011  Alberic;2 Total viviendas familiares;5.853
46011  Alberic;2.1 Total viviendas principales;4.369
26006  Alberite;2 Total viviendas familiares;1.563
26006  Alberite;2.1 Total viviendas principales;1.056
50010  Alberite de San Juan;2 Total viviendas familiares;82
50010  Alberite de San Juan;2.1 Total viviendas principales;40
22011  Albero Alto;2 Total viviendas familiares;65
22011  Albero Alto;2.1 Total viviendas principales;53
22012  Albero Bajo;2 Total viviendas familiares;54
22012  Albero Bajo;2.1 Total viviendas principales;46
22013  Alberuela de Tubo;2 Total viviendas familiares;164
22013  Alberuela de Tubo;2.1 Total viviendas principales;122
25008  Albesa;2 Total viviendas familiares;1.082
25008  Albesa;2.1 Total viviendas principales;639
50011  Albeta;2 Total viviendas familiares;112
50011  Albeta;2.1 Total viviendas principales;72
25009  Albi, L';2 Total viviendas familiares;490
25009  Albi, L';2.1 Total viviendas principales;313
09009  Albillos;2 Total viviendas familiares;138
09009  Albillos;2.1 Total viviendas principales;90
43002  Albinyana;2 Total viviendas familiares;1.770
43002  Albinyana;2.1 Total viviendas principales;899
43003  Albiol, L';2 Total viviendas familiares;253
43003  Albiol, L';2.1 Total viviendas principales;160
20004  Albiztur;2 Total viviendas familiares;164
20004  Albiztur;2.1 Total viviendas principales;117
12003  Albocàsser;2 Total viviendas familiares;1.093
12003  Albocàsser;2.1 Total viviendas principales;530
04005  Alboloduy;2 Total viviendas familiares;414
04005  Alboloduy;2.1 Total viviendas principales;325
18003  Albolote;2 Total viviendas familiares;8.780
18003  Albolote;2.1 Total viviendas principales;6.334
18004  Albondón;2 Total viviendas familiares;613
18004  Albondón;2.1 Total viviendas principales;328
17004  Albons;2 Total viviendas familiares;464
17004  Albons;2.1 Total viviendas principales;273
46012  Alborache;2 Total viviendas familiares;1.029
46012  Alborache;2.1 Total viviendas principales;508
46013  Alboraya;2 Total viviendas familiares;12.974
46013  Alboraya;2.1 Total viviendas principales;9.073
02005  Alborea;2 Total viviendas familiares;635
02005  Alborea;2.1 Total viviendas principales;340
50012  Alborge;2 Total viviendas familiares;107
50012  Alborge;2.1 Total viviendas principales;47
05005  Albornos;2 Total viviendas familiares;174
05005  Albornos;2.1 Total viviendas principales;91
04006  Albox;2 Total viviendas familiares;6.510
04006  Albox;2.1 Total viviendas principales;3.996
30004  Albudeite;2 Total viviendas familiares;749
30004  Albudeite;2.1 Total viviendas principales;496
06005  Albuera, La;2 Total viviendas familiares;1.242
06005  Albuera, La;2.1 Total viviendas principales;799
46014  Albuixech;2 Total viviendas familiares;2.019
46014  Albuixech;2.1 Total viviendas principales;1.477
18005  Albuñán;2 Total viviendas familiares;357
18005  Albuñán;2.1 Total viviendas principales;177
18006  Albuñol;2 Total viviendas familiares;3.576
18006  Albuñol;2.1 Total viviendas principales;2.509
18007  Albuñuelas;2 Total viviendas familiares;748
18007  Albuñuelas;2.1 Total viviendas principales;405
06006  Alburquerque;2 Total viviendas familiares;3.191
06006  Alburquerque;2.1 Total viviendas principales;2.111
45004  Alcabón;2 Total viviendas familiares;613
45004  Alcabón;2.1 Total viviendas principales;284
02006  Alcadozo;2 Total viviendas familiares;364
02006  Alcadozo;2.1 Total viviendas principales;248
44011  Alcaine;2 Total viviendas familiares;221
44011  Alcaine;2.1 Total viviendas principales;36
50013  Alcalá de Ebro;2 Total viviendas familiares;177
50013  Alcalá de Ebro;2.1 Total viviendas principales;118
41004  Alcalá de Guadaíra;2 Total viviendas familiares;32.554
41004  Alcalá de Guadaíra;2.1 Total viviendas principales;26.090
22014  Alcalá de Gurrea;2 Total viviendas familiares;226
22014  Alcalá de Gurrea;2.1 Total viviendas principales;140
28005  Alcalá de Henares;2 Total viviendas familiares;78.917
28005  Alcalá de Henares;2.1 Total viviendas principales;71.864
44012  Alcalá de la Selva;2 Total viviendas familiares;1.795
44012  Alcalá de la Selva;2.1 Total viviendas principales;190
16008  Alcalá de la Vega;2 Total viviendas familiares;371
16008  Alcalá de la Vega;2.1 Total viviendas principales;63
11001  Alcalá de los Gazules;2 Total viviendas familiares;3.488
11001  Alcalá de los Gazules;2.1 Total viviendas principales;2.105
50014  Alcalá de Moncayo;2 Total viviendas familiares;190
50014  Alcalá de Moncayo;2.1 Total viviendas principales;86
12004  Alcalà de Xivert;2 Total viviendas familiares;10.735
12004  Alcalà de Xivert;2.1 Total viviendas principales;3.294
02007  Alcalá del Júcar;2 Total viviendas familiares;1.211
02007  Alcalá del Júcar;2.1 Total viviendas principales;577
22015  Alcalá del Obispo;2 Total viviendas familiares;222
22015  Alcalá del Obispo;2.1 Total viviendas principales;137
41005  Alcalá del Río;2 Total viviendas familiares;5.049
41005  Alcalá del Río;2.1 Total viviendas principales;4.052
11002  Alcalá del Valle;2 Total viviendas familiares;2.363
11002  Alcalá del Valle;2.1 Total viviendas principales;1.832
23002  Alcalá la Real;2 Total viviendas familiares;12.062
23002  Alcalá la Real;2.1 Total viviendas principales;8.682
03006  Alcalalí;2 Total viviendas familiares;1.156
03006  Alcalalí;2.1 Total viviendas principales;637
22016  Alcampell;2 Total viviendas familiares;581
22016  Alcampell;2.1 Total viviendas principales;314
26007  Alcanadre;2 Total viviendas familiares;683
26007  Alcanadre;2.1 Total viviendas principales;330
43004  Alcanar;2 Total viviendas familiares;7.363
43004  Alcanar;2.1 Total viviendas principales;4.084
25010  Alcanó;2 Total viviendas familiares;136
25010  Alcanó;2.1 Total viviendas principales;89
10008  Alcántara;2 Total viviendas familiares;1.244
10008  Alcántara;2.1 Total viviendas principales;626
30005  Alcantarilla;2 Total viviendas familiares;18.812
30005  Alcantarilla;2.1 Total viviendas principales;14.806
46016  Alcàntera de Xúquer;2 Total viviendas familiares;734
46016  Alcàntera de Xúquer;2.1 Total viviendas principales;517
16009  Alcantud;2 Total viviendas familiares;219
16009  Alcantud;2.1 Total viviendas principales;42
49003  Alcañices;2 Total viviendas familiares;832
49003  Alcañices;2.1 Total viviendas principales;443
44013  Alcañiz;2 Total viviendas familiares;8.881
44013  Alcañiz;2.1 Total viviendas principales;6.457
45005  Alcañizo;2 Total viviendas familiares;326
45005  Alcañizo;2.1 Total viviendas principales;135
14003  Alcaracejos;2 Total viviendas familiares;898
14003  Alcaracejos;2.1 Total viviendas principales;580
02008  Alcaraz;2 Total viviendas familiares;1.125
02008  Alcaraz;2.1 Total viviendas principales;590
25011  Alcarràs;2 Total viviendas familiares;4.329
25011  Alcarràs;2.1 Total viviendas principales;3.318
46015  Alcàsser;2 Total viviendas familiares;5.188
46015  Alcàsser;2.1 Total viviendas principales;3.866
29002  Alcaucín;2 Total viviendas familiares;1.519
29002  Alcaucín;2.1 Total viviendas principales;1.275
23003  Alcaudete;2 Total viviendas familiares;6.013
23003  Alcaudete;2.1 Total viviendas principales;4.336
45006  Alcaudete de la Jara;2 Total viviendas familiares;1.542
45006  Alcaudete de la Jara;2.1 Total viviendas principales;781
13005  Alcázar de San Juan;2 Total viviendas familiares;15.085
13005  Alcázar de San Juan;2.1 Total viviendas principales;12.010
16010  Alcázar del Rey;2 Total viviendas familiares;200
16010  Alcázar del Rey;2.1 Total viviendas principales;94
47005  Alcazarén;2 Total viviendas familiares;480
47005  Alcazarén;2.1 Total viviendas principales;280
30902  Alcázares, Los;2 Total viviendas familiares;21.463
30902  Alcázares, Los;2.1 Total viviendas principales;5.988
13006  Alcoba;2 Total viviendas familiares;540
13006  Alcoba;2.1 Total viviendas principales;264
28006  Alcobendas;2 Total viviendas familiares;41.180
28006  Alcobendas;2.1 Total viviendas principales;39.101
19009  Alcocer;2 Total viviendas familiares;451
19009  Alcocer;2.1 Total viviendas principales;158
03007  Alcocer de Planes;2 Total viviendas familiares;197
03007  Alcocer de Planes;2.1 Total viviendas principales;91
09010  Alcocero de Mola;2 Total viviendas familiares;61
09010  Alcocero de Mola;2.1 Total viviendas principales;21
16011  Alcohujate;2 Total viviendas familiares;144
16011  Alcohujate;2.1 Total viviendas principales;25
04007  Alcolea;2 Total viviendas familiares;730
04007  Alcolea;2.1 Total viviendas principales;368
13007  Alcolea de Calatrava;2 Total viviendas familiares;1.013
13007  Alcolea de Calatrava;2.1 Total viviendas principales;625
22017  Alcolea de Cinca;2 Total viviendas familiares;653
22017  Alcolea de Cinca;2.1 Total viviendas principales;428
19010  Alcolea de las Peñas;2 Total viviendas familiares;60
19010  Alcolea de las Peñas;2.1 Total viviendas principales;9
45007  Alcolea de Tajo;2 Total viviendas familiares;610
45007  Alcolea de Tajo;2.1 Total viviendas principales;368
19011  Alcolea del Pinar;2 Total viviendas familiares;556
19011  Alcolea del Pinar;2.1 Total viviendas principales;175
41006  Alcolea del Río;2 Total viviendas familiares;1.553
41006  Alcolea del Río;2.1 Total viviendas principales;1.161
03008  Alcoleja;2 Total viviendas familiares;238
03008  Alcoleja;2.1 Total viviendas principales;81
25012  Alcoletge;2 Total viviendas familiares;1.553
25012  Alcoletge;2.1 Total viviendas principales;1.224
