Provincias de destino;Procedencia de los viajeros;Meses;Total
Ciudad Real;No Residentes en España;Julio;1,31
Ciudad Real;No Residentes en España;Agosto;1,27
Ciudad Real;No Residentes en España;Septiembre;4,1
Ciudad Real;No Residentes en España;Octubre;1,52
Ciudad Real;No Residentes en España;Noviembre;1
Ciudad Real;No Residentes en España;Diciembre;1,31
Córdoba;Total;Total;2,73
Córdoba;Total;Enero;2,9
Córdoba;Total;Febrero;2,22
Córdoba;Total;Marzo;2,59
Córdoba;Total;Abril;2,29
Córdoba;Total;Mayo;2,58
Córdoba;Total;Junio;2,24
Córdoba;Total;Julio;3,57
Córdoba;Total;Agosto;4,2
Córdoba;Total;Septiembre;2,27
Córdoba;Total;Octubre;2,12
Córdoba;Total;Noviembre;2,13
Córdoba;Total;Diciembre;2,56
Córdoba;Residentes en España;Total;2,52
Córdoba;Residentes en España;Enero;2,34
Córdoba;Residentes en España;Febrero;2,23
Córdoba;Residentes en España;Marzo;2,56
Córdoba;Residentes en España;Abril;2,04
Córdoba;Residentes en España;Mayo;2,2
Córdoba;Residentes en España;Junio;2,1
Córdoba;Residentes en España;Julio;3,18
Córdoba;Residentes en España;Agosto;3,77
Córdoba;Residentes en España;Septiembre;2,23
Córdoba;Residentes en España;Octubre;1,95
Córdoba;Residentes en España;Noviembre;2
Córdoba;Residentes en España;Diciembre;2,47
Córdoba;No Residentes en España;Total;4,84
Córdoba;No Residentes en España;Enero;30
Córdoba;No Residentes en España;Febrero;2,18
Córdoba;No Residentes en España;Marzo;2,84
Córdoba;No Residentes en España;Abril;3,74
Córdoba;No Residentes en España;Mayo;3,67
Córdoba;No Residentes en España;Junio;4,19
Córdoba;No Residentes en España;Julio;7,41
Córdoba;No Residentes en España;Agosto;8,02
Córdoba;No Residentes en España;Septiembre;3,1
Córdoba;No Residentes en España;Octubre;4,58
Córdoba;No Residentes en España;Noviembre;4,65
Córdoba;No Residentes en España;Diciembre;4,83
Coruña, A;Total;Total;1,71
Coruña, A;Total;Enero;1,75
Coruña, A;Total;Febrero;1,39
Coruña, A;Total;Marzo;1,52
Coruña, A;Total;Abril;1,28
Coruña, A;Total;Mayo;1,26
Coruña, A;Total;Junio;1,47
Coruña, A;Total;Julio;2,23
Coruña, A;Total;Agosto;2,47
Coruña, A;Total;Septiembre;1,44
Coruña, A;Total;Octubre;1,44
Coruña, A;Total;Noviembre;1,48
Coruña, A;Total;Diciembre;2,02
Coruña, A;Residentes en España;Total;2
Coruña, A;Residentes en España;Enero;1,87
